Image,CommandLine,ParentProcess
C:\Windows\System32\whoami.exe,"""C:\WINDOWS\system32\whoami.exe""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  Set-ExecutionPolicy Unrestricted ; Set-MpPreference -DisableRealtimeMonitoring $true ; Install-PackageProvider -Name NuGet -MinimumVersion 2.8.5.201 -Force ; IEX (IWR 'https://raw.githubusercontent.com/redcanaryco/invoke-atomicredteam/master/install-atomicredteam.ps1' -UseBasicParsing); Install-AtomicRedTeam -Force -getAtomics ; Invoke-AtomicTest T1574.012 -CheckPrereqs ; Invoke-AtomicTest T1574.012 -GetPrereqs ; Invoke-AtomicTest T1574.012 ; Invoke-AtomicTest T1574.012 -Cleanup ; Set-MpPreference -DisableRealtimeMonitoring $false ,C:\Windows\System32\cmd.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,"C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\WINDOWS\SystemTemp\RESEF4A.tmp"" ""c:\Windows\SystemTemp\fnchhaaj\CSCE9F6EE354C6D455487132D4DDD84B39E.TMP""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe
C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,"""C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe"" /noconfig /fullpaths @""C:\WINDOWS\SystemTemp\fnchhaaj\fnchhaaj.cmdline""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\HOSTNAME.EXE,"""C:\WINDOWS\system32\HOSTNAME.EXE""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,Powershell.exe  (Get-packageProvider -name nuget).ProviderPath ,C:\Windows\System32\cmd.exe
C:\Windows\System32\net1.exe,C:\WINDOWS\system32\net1  FILE ,C:\Windows\System32\net.exe
C:\Windows\System32\net.exe,NET  FILE ,C:\Windows\System32\cmd.exe
C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,PowerShell.exe  Get-ExecutionPolicy ,C:\Windows\System32\cmd.exe
C:\Windows\System32\find.exe,"find  ""10.0."" ",C:\Windows\System32\cmd.exe
